<Back to contents>																									
"Table A10 TAC Applications, offers and offer rates by institution, 2009-2013"																									
	"TAC Applications, Offers and Offer Rates"																								
	Applications						Offers						Offer rates												
	2009	2010	2011	2012	2013	% change     2012-2013	2009	2010	2011	2012	2013	% change     2012-2013	2009	2010	2011	2012	2013								
New South Wales																									
Charles Sturt University	"4,265"	"4,298"	"4,287"	"4,668"	"4,614"	-1.2%	"4,114"	"4,308"	"4,160"	"4,140"	"3,668"	-11.4%	96.5%	100.2%	97.0%	88.7%	79.5%								
Macquarie University	"6,255"	"6,880"	"7,294"	"7,632"	"7,625"	-0.1%	"5,505"	"5,695"	"5,966"	"6,680"	"6,627"	-0.8%	88.0%	82.8%	81.8%	87.5%	86.9%								
Southern Cross University	"2,432"	"2,742"	"2,573"	"2,666"	"2,442"	-8.4%	"2,543"	"2,549"	"2,527"	"2,635"	"2,186"	-17.0%	104.6%	93.0%	98.2%	98.8%	89.5%								
The University of New England	"1,601"	"1,531"	"1,504"	"1,632"	"1,690"	3.6%	"1,501"	"1,555"	"1,670"	"1,810"	"1,702"	-6.0%	93.8%	101.6%	111.0%	110.9%	100.7%								
The University of New South Wales	"10,572"	"10,865"	"11,077"	"11,008"	"11,424"	3.8%	"7,645"	"7,531"	"7,545"	"7,859"	"7,946"	1.1%	72.3%	69.3%	68.1%	71.4%	69.6%								
The University of Newcastle	"9,364"	"9,651"	"9,876"	"10,300"	"10,571"	2.6%	"7,058"	"7,971"	"8,219"	"8,415"	"8,812"	4.7%	75.4%	82.6%	83.2%	81.7%	83.4%								
The University of Sydney	"13,963"	"14,631"	"14,271"	"14,486"	"15,058"	3.9%	"9,503"	"9,543"	"9,217"	"10,389"	"10,889"	4.8%	68.1%	65.2%	64.6%	71.7%	72.3%								
"University of Technology, Sydney"	"10,155"	"9,906"	"9,854"	"10,621"	"9,614"	-9.5%	"5,914"	"5,884"	"6,861"	"6,766"	"7,497"	10.8%	58.2%	59.4%	69.6%	63.7%	78.0%								
University of Western Sydney	"11,251"	"11,776"	"11,713"	"11,947"	"13,158"	10.1%	"10,862"	"12,318"	"12,469"	"12,155"	"12,956"	6.6%	96.5%	104.6%	106.5%	101.7%	98.5%								
University of Wollongong	"3,645"	"3,685"	"3,843"	"3,801"	"3,608"	-5.1%	"3,076"	"3,273"	"3,267"	"3,221"	"3,416"	6.1%	84.4%	88.8%	85.0%	84.7%	94.7%								
Victoria																									
Deakin University	"10,780"	"12,301"	"11,223"	"11,443"	"11,288"	-1.4%	"6,967"	"7,247"	"8,554"	"9,695"	"9,942"	2.5%	64.6%	58.9%	76.2%	84.7%	88.1%								
La Trobe University	"7,350"	"8,377"	"8,971"	"8,987"	"9,019"	0.4%	"6,501"	"7,460"	"8,532"	"8,571"	"7,704"	-10.1%	88.4%	89.1%	95.1%	95.4%	85.4%								
